elephant 🐘
whale 🐳
shark 🦈
owl 🦉
fox 🦊
squirrel 🐿️
horse 🐴
cow 🐮
pig 🐷
sheep 🐑
goat 🐐
camel 🐫
giraffe 🦒
zebra 🦓
wolf 🐺
otter 🦦
dolphin 🐬
seal 🦭
crab 🦀
snail 🐌
worm 🪱
spider 🕷️
ant 🐜
scorpion 🦂
parrot 🦜
eagle 🦅
swan 🦢
orange 🍊
lemon 🍋
peach 🍑
pear 🍐
melon 🍈
carrot 🥕
corn 🌽
peas 🫛
broccoli 🥦
mushroom 🍄
potato 🥔
onion 🧅
bread 🍞
cheese 🧀
egg 🥚
butter 🧈
honey 🍯
cake 🍰
donut 🍩
popcorn 🍿
candy 🍬
lollipop 🍭
pretzel 🥨
noodles 🍜
rice 🍚
soup 🍲
salad 🥗
hot dog 🌭
taco 🌮
gloves 🧤
scarf 🧣
boots 👢
sandals 👡
tie 👔
mask 😷
glasses 👓
helmet ⛑️
watch ⌚
purse 👛
mirror 🪞
vase 🏺
candle 🕯️
broom 🧹
bucket 🪣
trash can 🗑️
bathtub 🛁
toilet 🚽
door 🚪
window 🪟
trumpet 🎺
flute 🪈
horn 📯
raccoon 🦝
hedgehog 🦔
kangaroo 🦘
llama 🦙
sloth 🦥
skunk 🦨
badger 🦡
beaver 🦫
bison 🦬
mammoth 🦣
flamingo 🦩
peacock 🦚
turkey 🦃
dodo 🦤
goose 🪿
turtle 🐢
lizard 🦎
snake 🐍
lobster 🦞
squid 🦑
octopus 🐙
